image_idx,row_upper_left,column_upper_left,row_centre,column_centre,x_coordinate,y_coordinate,geometry
184,300,2850,375,2925,349625.1154461877,4729864.941377874,POINT (349625.1154461877 4729864.941377874)
185,300,3000,375,3075,349775.1154461877,4729864.941377874,POINT (349775.1154461877 4729864.941377874)
186,300,3150,375,3225,349925.1154461877,4729864.941377874,POINT (349925.1154461877 4729864.941377874)
187,300,3300,375,3375,350075.1154461877,4729864.941377874,POINT (350075.1154461877 4729864.941377874)
188,300,3450,375,3525,350225.1154461877,4729864.941377874,POINT (350225.1154461877 4729864.941377874)
189,300,3600,375,3675,350375.1154461877,4729864.941377874,POINT (350375.1154461877 4729864.941377874)
190,300,3750,375,3825,350525.1154461877,4729864.941377874,POINT (350525.1154461877 4729864.941377874)
191,300,3900,375,3975,350675.1154461877,4729864.941377874,POINT (350675.1154461877 4729864.941377874)
192,300,4050,375,4125,350825.1154461877,4729864.941377874,POINT (350825.1154461877 4729864.941377874)
193,300,4200,375,4275,350975.1154461877,4729864.941377874,POINT (350975.1154461877 4729864.941377874)
194,300,4350,375,4425,351125.1154461877,4729864.941377874,POINT (351125.1154461877 4729864.941377874)
195,300,4500,375,4575,351275.1154461877,4729864.941377874,POINT (351275.1154461877 4729864.941377874)
196,300,4650,375,4725,351425.1154461877,4729864.941377874,POINT (351425.1154461877 4729864.941377874)
197,300,4800,375,4875,351575.1154461877,4729864.941377874,POINT (351575.1154461877 4729864.941377874)
198,300,4950,375,5025,351725.1154461877,4729864.941377874,POINT (351725.1154461877 4729864.941377874)
199,300,5100,375,5175,351875.1154461877,4729864.941377874,POINT (351875.1154461877 4729864.941377874)
200,300,5250,375,5325,352025.1154461877,4729864.941377874,POINT (352025.1154461877 4729864.941377874)
201,300,5400,375,5475,352175.1154461877,4729864.941377874,POINT (352175.1154461877 4729864.941377874)
202,300,5550,375,5625,352325.1154461877,4729864.941377874,POINT (352325.1154461877 4729864.941377874)
203,300,5700,375,5775,352475.1154461877,4729864.941377874,POINT (352475.1154461877 4729864.941377874)
204,300,5850,375,5925,352625.1154461877,4729864.941377874,POINT (352625.1154461877 4729864.941377874)
205,300,6000,375,6075,352775.1154461877,4729864.941377874,POINT (352775.1154461877 4729864.941377874)
206,300,6150,375,6225,352925.1154461877,4729864.941377874,POINT (352925.1154461877 4729864.941377874)
207,300,6300,375,6375,353075.1154461877,4729864.941377874,POINT (353075.1154461877 4729864.941377874)
208,300,6450,375,6525,353225.1154461877,4729864.941377874,POINT (353225.1154461877 4729864.941377874)
209,300,6600,375,6675,353375.1154461877,4729864.941377874,POINT (353375.1154461877 4729864.941377874)
210,300,6750,375,6825,353525.1154461877,4729864.941377874,POINT (353525.1154461877 4729864.941377874)
211,300,6900,375,6975,353675.1154461877,4729864.941377874,POINT (353675.1154461877 4729864.941377874)
212,300,7050,375,7125,353825.1154461877,4729864.941377874,POINT (353825.1154461877 4729864.941377874)
213,300,7200,375,7275,353975.1154461877,4729864.941377874,POINT (353975.1154461877 4729864.941377874)
214,300,7350,375,7425,354125.1154461877,4729864.941377874,POINT (354125.1154461877 4729864.941377874)
215,300,7500,375,7575,354275.1154461877,4729864.941377874,POINT (354275.1154461877 4729864.941377874)
216,300,7650,375,7725,354425.1154461877,4729864.941377874,POINT (354425.1154461877 4729864.941377874)
217,300,7800,375,7875,354575.1154461877,4729864.941377874,POINT (354575.1154461877 4729864.941377874)
218,300,7950,375,8025,354725.1154461877,4729864.941377874,POINT (354725.1154461877 4729864.941377874)
219,300,8100,375,8175,354875.1154461877,4729864.941377874,POINT (354875.1154461877 4729864.941377874)
220,300,8250,375,8325,355025.1154461877,4729864.941377874,POINT (355025.1154461877 4729864.941377874)
221,300,8400,375,8475,355175.1154461877,4729864.941377874,POINT (355175.1154461877 4729864.941377874)
222,300,8550,375,8625,355325.1154461877,4729864.941377874,POINT (355325.1154461877 4729864.941377874)
223,300,8700,375,8775,355475.1154461877,4729864.941377874,POINT (355475.1154461877 4729864.941377874)
224,300,8850,375,8925,355625.1154461877,4729864.941377874,POINT (355625.1154461877 4729864.941377874)
225,300,9000,375,9075,355775.1154461877,4729864.941377874,POINT (355775.1154461877 4729864.941377874)
226,300,9150,375,9225,355925.1154461877,4729864.941377874,POINT (355925.1154461877 4729864.941377874)
227,300,9300,375,9375,356075.1154461877,4729864.941377874,POINT (356075.1154461877 4729864.941377874)
228,300,9450,375,9525,356225.1154461877,4729864.941377874,POINT (356225.1154461877 4729864.941377874)
229,300,9600,375,9675,356375.1154461877,4729864.941377874,POINT (356375.1154461877 4729864.941377874)
230,300,9750,375,9825,356525.1154461877,4729864.941377874,POINT (356525.1154461877 4729864.941377874)
231,300,9900,375,9975,356675.1154461877,4729864.941377874,POINT (356675.1154461877 4729864.941377874)
232,300,10050,375,10125,356825.1154461877,4729864.941377874,POINT (356825.1154461877 4729864.941377874)
233,300,10200,375,10275,356975.1154461877,4729864.941377874,POINT (356975.1154461877 4729864.941377874)
234,300,10350,375,10425,357125.1154461877,4729864.941377874,POINT (357125.1154461877 4729864.941377874)
235,300,10500,375,10575,357275.1154461877,4729864.941377874,POINT (357275.1154461877 4729864.941377874)
236,300,10650,375,10725,357425.1154461877,4729864.941377874,POINT (357425.1154461877 4729864.941377874)
237,300,10800,375,10875,357575.1154461877,4729864.941377874,POINT (357575.1154461877 4729864.941377874)
238,300,10950,375,11025,357725.1154461877,4729864.941377874,POINT (357725.1154461877 4729864.941377874)
239,300,11100,375,11175,357875.1154461877,4729864.941377874,POINT (357875.1154461877 4729864.941377874)
240,300,11250,375,11325,358025.1154461877,4729864.941377874,POINT (358025.1154461877 4729864.941377874)
